LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,ParameterList
1,17/06/20,05:10:40,INFO,executor.CoarseGrainedExecutorBackend," Registered signal handlers for [TERM, HUP, INT]",932c104e,"Registered signal handlers for [TERM, HUP, INT]",[]
2,17/06/20,05:10:40,INFO,spark.SecurityManager," Changing view acls to: yarn,curi",7bb9d001,"Changing <*> acls to: yarn,curi",[]
3,17/06/20,05:10:40,INFO,com.org.sravani, Finishing the job,93322a10,Finishing the job,[]
4,17/06/20,05:10:40,INFO,spark.SecurityManager," Changing modify acls to: yarn,curi",7bb9d001,"Changing <*> acls to: yarn,curi",[]
5,17/06/20,05:10:40,INFO,spark.SecurityManager," SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",29bc3dfc,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",[]
6,17/06/20,05:10:41,INFO,spark.SecurityManager," Changing view acls to: yarn,curi",7bb9d001,"Changing <*> acls to: yarn,curi",[]
7,17/06/20,05:10:41,INFO,spark.SecurityManager," Changing modify acls to: yarn,curi",7bb9d001,"Changing <*> acls to: yarn,curi",[]
8,17/06/20,05:10:41,INFO,spark.SecurityManager," SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",29bc3dfc,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",[]
9,17/06/20,05:10:41,INFO,slf4j.Slf4jLogger, Slf4jLogger started,b923f8c3,Slf4jLogger started,[]
10,17/06/20,05:10:41,INFO,Remoting, Starting remoting,e99571c6,Starting remoting,[]
11,17/06/20,05:10:41,INFO,Remoting, Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],27a2a4ad,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],[]
12,17/06/20,05:10:41,INFO,util.Utils, Successfully started service 'sparkExecutorActorSystem' on port 55904.,f5a68e94,Successfully started service <*> on port <*>,[]
13,17/06/20,05:10:41,INFO,storage.DiskBlockManager, Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,9ffef012,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,[]
14,17/06/20,05:10:41,INFO,storage.MemoryStore, MemoryStore started with capacity 17.7 GB,ab59d05a,MemoryStore started with capacity 17.7 GB,[]
15,17/06/20,05:10:42,INFO,executor.CoarseGrainedExecutorBackend, Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,06cc9899,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,[]
16,17/06/20,05:10:42,INFO,executor.CoarseGrainedExecutorBackend, Successfully registered with driver,5a5c5838,Successfully registered with driver,[]
17,17/06/20,05:10:42,INFO,executor.Executor, Starting executor ID 5 on host mesos-slave-07,508e4f7f,Starting executor ID 5 on host mesos-slave-07,[]
18,17/06/20,05:10:42,INFO,util.Utils, Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 42084.,f5a68e94,Successfully started service <*> on port <*>,[]
19,17/06/20,05:10:42,INFO,netty.NettyBlockTransferService, Server created on 42084,740beeb4,Server created on 42084,[]
20,17/06/20,05:10:42,INFO,storage.BlockManagerMaster, Trying to register BlockManager,17f432d4,Trying to register BlockManager,[]
21,17/06/20,05:10:42,INFO,storage.BlockManagerMaster, Registered BlockManager,1c507e44,Registered BlockManager,[]
22,17/06/20,05:10:45,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 0,9ba7fdc2,Got assigned task <*>,[]
23,17/06/20,05:10:45,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 1,9ba7fdc2,Got assigned task <*>,[]
